analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean,shuffle_iter
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,0.07117495364310103,-0.09726488698881033,,,,10
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,-0.12078360083110404,-0.05315774339537505,0.46938775510204084,0.023327178662007935,0.03394446319421383,10
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,-0.04608210848593017,0.0022075270337830345,,,,10
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.20574684900389495,-0.05634361698190111,0.4666666666666667,-0.024926471597387305,-0.006718403057008164,10
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,0.3137581565891341,0.4125874125874127,,,,10
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.27059213056278975,-0.2780397348992145,0.3394736842105263,-0.003085966254494501,0.031915127319573564,11
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,-0.22164637570762247,-0.20182855888019963,,,,11
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.49464942732221484,-0.5196152422706632,0.2,0.0045931043657419885,0.032323430937020434,11
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.30685183779357705,-0.31799441532717476,,,,11
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,-0.021111176810463872,-0.05634361698190111,0.4666666666666667,-0.007035341363331653,-0.004103701201566831,11
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,-0.3252142636910387,-0.16413449679361747,,,,11
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,-0.07748595014310906,-0.12403473458920845,0.42857142857142855,0.020549381239621387,0.025909628343499157,11
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.03934213304718728,-0.09933871652023654,,,,11
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.6330021897839023,-0.6197797868009122,0.13333333333333333,-0.03994908417714365,0.10527883310323638,11
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,-0.4369484282780783,-0.4055944055944056,,,,11
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.1373211384275373,-0.22790142204853647,0.3684210526315789,-0.010277341955663807,0.0036735732481404464,12
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,-0.056013286524565484,-0.16011644337585493,,,,12
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,label_bin,9,-0.5070288491618364,-0.5196152422706632,0.2,0.0008240374439780393,0.025953020118471913,12
gene_shuffle,breast,full_marker_score_coverage_weighted_mean,best_available_primary_orr,9,-0.4779490877317116,-0.6443571047419068,,,,12
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,label_bin,8,-0.4086278882994005,-0.6197797868009122,0.13333333333333333,-0.04621164020731061,-0.005069701125373393,12
gene_shuffle,crc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,10,0.05838282147530513,0.012158110873601292,,,,12
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,label_bin,14,0.009324245516294016,0.017719247798458352,0.5102040816326531,-0.006615871996713284,-0.0078837017544677,12
gene_shuffle,nsclc,full_marker_score_coverage_weighted_mean,best_available_primary_orr,14,0.020066343855181308,-0.024282797371613384,,,,12
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,label_bin,8,-0.19606992030427686,-0.16903085094570333,0.4,-0.0027239244669199298,0.00808026075953007,12
gene_shuffle,ovarian,full_marker_score_coverage_weighted_mean,best_available_primary_orr,12,-0.3346416321026477,-0.5314685314685316,,,,12
gene_shuffle,all,full_marker_score_coverage_weighted_mean,label_bin,39,-0.32705426498816326,-0.3053879055450389,0.3236842105263158,0.0004083335131972927,0.04254435312961041,13
gene_shuffle,all,full_marker_score_coverage_weighted_mean,best_available_primary_orr,45,-0.17880793681265264,-0.21535859634600762,,,,13
