analysis,slice,score_col,target,n,pearson,spearman,auc_high,success_mean,failure_mean
real,nsclc,full_marker_score_mean_tanh_mean,best_available_primary_orr,14,0.19187709262048025,0.37748712277689894,,,
real,nsclc,full_marker_score_strict_coverage_mean,label_bin,14,0.02577598390625911,0.12403473458920845,0.5714285714285714,0.015014160457972466,0.010913024316390353
real,nsclc,full_marker_score_strict_coverage_mean,best_available_primary_orr,14,0.2287058221406427,0.37748712277689894,,,
real,nsclc,full_marker_baseline_score_mean,label_bin,14,-0.5143605614103142,-0.49833425411548193,0.21428571428571427,0.008552236107420227,0.04082428912614897
real,nsclc,full_marker_baseline_score_mean,best_available_primary_orr,14,-0.2207967559419188,-0.20620842572062087,,,
real,nsclc,full_marker_delta_score_mean,label_bin,14,0.10506122697428251,0.12403473458920845,0.5714285714285714,0.023284197242314064,-0.01614257470036488
real,nsclc,full_marker_delta_score_mean,best_available_primary_orr,14,0.25559793973234796,0.381902176844465,,,
real,nsclc,full_marker_gene_ordinal_score_mean,label_bin,14,-0.022147973237574878,0.14191001323554844,0.5816326530612245,1.6142857142857143,1.6261904761904764
real,nsclc,full_marker_gene_ordinal_score_mean,best_available_primary_orr,14,0.12280352906040001,0.33370349094329804,,,
real,nsclc,full_marker_gene_ordinal_score_from_cohort_mean,label_bin,14,-0.06052275326688025,-0.01899342940993966,0.4897959183673469,1.6071428571428572,1.6428571428571428
real,nsclc,full_marker_gene_ordinal_score_from_cohort_mean,best_available_primary_orr,14,0.1720943196365352,0.35257409880912577,,,
real,nsclc,full_marker_prior_adjusted_ordinal_score,label_bin,14,0.4764690764705289,0.408178017928621,0.7244897959183674,2.8214285714285716,2.2142857142857144
real,nsclc,full_marker_prior_adjusted_ordinal_score,best_available_primary_orr,14,0.3429558819999591,0.3652117718352914,,,
real,nsclc,full_marker_delta_ordinal_score_from_cohort_mean,label_bin,14,0.034647946433761845,0.18312438553287788,0.6020408163265306,1.6428571428571428,1.6071428571428572
real,nsclc,full_marker_delta_ordinal_score_from_cohort_mean,best_available_primary_orr,14,0.22048543320743427,0.44944148381879706,,,
