label,score_col,n_orr,pearson,spearman,within_disease_pair_weighted_pearson,within_disease_pair_weighted_spearman,auc_success_above_disease_median,control_family,variant,shuffle_iter
signed_mag_tail_soft_primary:gene_shuffle_0020,expected_orr_pct,44,0.2659942443948359,0.32497773109058786,0.23093270379849934,0.37095584492876793,0.7060041407867494,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,20
signed_mag_tail_hard_reference:gene_shuffle_0020,expected_orr_pct,44,0.2033193290545645,0.273393701667145,0.20781297329077641,0.34641716104892195,0.7101449275362319,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,20
grid_covgate90_magm0005_tailm0020:gene_shuffle_0020,expected_orr_pct,44,0.2660915550871221,0.33959537349296764,0.233059106894388,0.39627186848032,0.7204968944099379,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,20
signed_mag_tail_soft_primary:gene_shuffle_0021,expected_orr_pct,44,0.002860140028949798,-0.06461421641631637,-0.04326940045498895,-0.15710960856974376,0.4306418219461698,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,21
signed_mag_tail_hard_reference:gene_shuffle_0021,expected_orr_pct,44,0.006114723156365687,-0.05683588249293625,-0.04439508216462391,-0.14839972350031552,0.4306418219461698,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,21
grid_covgate90_magm0005_tailm0020:gene_shuffle_0021,expected_orr_pct,44,-0.004803826212933494,-0.06694456520510154,-0.055544674534917904,-0.1769548665204098,0.40993788819875776,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,21
signed_mag_tail_soft_primary:gene_shuffle_0022,expected_orr_pct,44,-0.011726894264194598,0.014970725552195705,0.02175469121041973,0.2689928396134195,0.5507246376811594,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,22
signed_mag_tail_hard_reference:gene_shuffle_0022,expected_orr_pct,44,-0.056209808376378276,-0.02488512405721521,0.022568040980795345,0.24666419510123236,0.5496894409937888,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,22
grid_covgate90_magm0005_tailm0020:gene_shuffle_0022,expected_orr_pct,44,-0.017419413629052416,0.026198769716342482,0.02539017842764056,0.26440041711054924,0.556935817805383,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,22
signed_mag_tail_soft_primary:gene_shuffle_0023,expected_orr_pct,44,0.08809164496800782,0.2745574572968722,0.04944081841820673,0.21720224535864938,0.5900621118012422,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,23
signed_mag_tail_hard_reference:gene_shuffle_0023,expected_orr_pct,44,0.09437481056167638,0.23322770281019373,0.03447572125904735,0.1895248113621113,0.5859213250517599,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,23
grid_covgate90_magm0005_tailm0020:gene_shuffle_0023,expected_orr_pct,44,0.13286503945091294,0.3156563359354471,0.06748870197482765,0.25577429765746995,0.5817805383022774,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,23
signed_mag_tail_soft_primary:gene_shuffle_0024,expected_orr_pct,44,-0.09235308357344517,-0.09038928635287972,-0.23224817005418164,-0.2572978468434589,0.45134575569358176,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,24
signed_mag_tail_hard_reference:gene_shuffle_0024,expected_orr_pct,44,-0.07423819958278799,-0.10467881900466278,-0.261826280066879,-0.302713884783148,0.4503105590062112,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,24
grid_covgate90_magm0005_tailm0020:gene_shuffle_0024,expected_orr_pct,44,-0.08535160758912269,-0.027187402535827104,-0.2416734955741961,-0.19738372369890023,0.474120082815735,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,24
signed_mag_tail_soft_primary:gene_shuffle_0025,expected_orr_pct,44,-0.004341343515043266,-0.03827421344004751,0.00574892577350272,0.04186333624378553,0.5610766045548654,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,25
signed_mag_tail_hard_reference:gene_shuffle_0025,expected_orr_pct,44,-0.1331849601905971,-0.18364454866312277,-0.061022502944438686,-0.11593081040141266,0.49585921325051757,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,25
grid_covgate90_magm0005_tailm0020:gene_shuffle_0025,expected_orr_pct,44,0.0165638051858159,-0.020973139099066625,-0.009119853425821257,0.021075840794756658,0.5610766045548654,random_gene_shuffle_preserve_sizes_and_signs,grid_covgate90_magm0005_tailm0020,25
signed_mag_tail_soft_primary:gene_shuffle_0026,expected_orr_pct,44,0.032531983788915045,0.054021721921838274,-0.0380653442590704,0.11689494013529919,0.5631469979296067,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_soft_primary,26
signed_mag_tail_hard_reference:gene_shuffle_0026,expected_orr_pct,44,-0.05630530567021337,0.055540041483885146,-0.03846654314142368,0.15880065001950766,0.5445134575569358,random_gene_shuffle_preserve_sizes_and_signs,signed_mag_tail_hard_reference,26
